coverage,action-search,direction-baseline,random-sampler
0.005,162.5430196729,207.8145717099,217.7445823604
0.01,126.0972333831,160.9887755718,169.3941262656
0.015,126.133790821,149.7822161982,158.6427839162
0.02,105.8980470604,127.5156078431,136.6994284686
0.025,102.863598514,124.1709277389,133.0503567173
0.03,97.4998443646,116.3594245469,125.0170616856
0.035,94.5608035618,112.7086756097,121.7162798288
0.04,93.6122238015,109.1956279482,118.3685929618
0.045,91.3056765335,105.4332676159,115.0168684263
0.05,89.838810679,103.1078925332,112.9460433706
